Route ID,Start City,Start Date,Greedy Route,Optimal Route,Greedy Price,Optimal Price,Season,Target Audience,Region,Subregion,Month,Trip ID
1,PARIS,2025-07-01,,,,,SUMMER,YOUNG,EUROPE,WEST,JULY,A
2,PARIS,2025-08-01,,,,,SUMMER,YOUNG,EUROPE,WEST,AUGUST,A
3,PARIS,2025-07-01,,,,,SUMMER,YOUNG,EUROPE,WEST,JULY,B
4,PARIS,2025-08-01,,,,,SUMMER,YOUNG,EUROPE,WEST,AUGUST,B
5,TAMPA,2025-07-01,,,,,SUMMER,YOUNG,USA,EAST,JULY,A
6,TAMPA,2025-08-01,,,,,SUMMER,YOUNG,USA,EAST,AUGUST,A
7,TAMPA,2025-07-01,,,,,SUMMER,YOUNG,USA,EAST,JULY,B
8,TAMPA,2025-08-01,,,,,SUMMER,YOUNG,USA,EAST,AUGUST,B
9,SAN DIEGO,2025-07-01,,,,,SUMMER,YOUNG,USA,WEST,JULY,A
10,SAN DIEGO,2025-08-01,,,,,SUMMER,YOUNG,USA,WEST,AUGUST,A
11,SAN DIEGO,2025-07-01,,,,,SUMMER,YOUNG,USA,WEST,JULY,B
12,SAN DIEGO,2025-08-01,,,,,SUMMER,YOUNG,USA,WEST,AUGUST,B
13,PARIS,2025-12-26,,,,,WINTER,YOUNG,EUROPE,WEST,,A
14,PARIS,2025-12-26,,,,,WINTER,YOUNG,EUROPE,WEST,,B
15,PARIS,2025-12-26,,,,,WINTER,YOUNG,EUROPE,EAST,,A
16,TAMPA,2025-12-26,,,,,WINTER,YOUNG,USA,EAST,,A
17,TAMPA,2025-12-26,,,,,WINTER,YOUNG,USA,EAST,,B
18,SAN DIEGO,2025-12-26,,,,,WINTER,YOUNG,USA,WEST,,A
19,SAN DIEGO,2025-12-26,,,,,WINTER,YOUNG,USA,WEST,,B
20,VIENNA,2025-07-01,,,,,SUMMER,ELDER,EUROPE,,JULY,A
21,VIENNA,2025-08-01,,,,,SUMMER,ELDER,EUROPE,,AUGUST,A
22,VIENNA,2025-07-01,,,,,SUMMER,ELDER,EUROPE,,JULY,B
23,VIENNA,2025-08-01,,,,,SUMMER,ELDER,EUROPE,,AUGUST,B
24,SARASOTA,2025-07-01,,,,,SUMMER,ELDER,USA,EAST,JULY,A
25,SARASOTA,2025-08-01,,,,,SUMMER,ELDER,USA,EAST,AUGUST,A
26,SARASOTA,2025-07-01,,,,,SUMMER,ELDER,USA,EAST,JULY,B
27,SARASOTA,2025-08-01,,,,,SUMMER,ELDER,USA,EAST,AUGUST,B
28,SANTA BARBARA,2025-07-01,,,,,SUMMER,ELDER,USA,WEST,JULY,A
29,SANTA BARBARA,2025-08-01,,,,,SUMMER,ELDER,USA,WEST,AUGUST,A
30,SANTA BARBARA,2025-07-01,,,,,SUMMER,ELDER,USA,WEST,JULY,B
31,SANTA BARBARA,2025-08-01,,,,,SUMMER,ELDER,USA,WEST,AUGUST,B
